Elapsed Time (seconds),Mode,TotalDistanceFromScar, DeltaX, DeltaY, DeltaZ
25.39697,Haptic Plane,0.005314425,7.13E-06,0.000872418,0.005242348
15.72814,Haptic Plane,0.09558432,0.08710992,0.002869278,0.03924263
19.79482,Visual + Haptic,0,0,0,0
23.42638,Visual + Haptic,0,0,0,0
27.95367,Haptic Plane,0.01498286,0.002986144,0.006273836,0.01327431
47.70378,Visual + Haptic,0.007023447,0.000597665,0.000324652,0.006990436
15.37591,Haptic Plane,0.0318594,0.001113772,0.007601202,0.03091931
57.09531,Visual + Haptic,0.02902343,0.005607521,0.01151535,0.02604442
161.2044,Visual + Haptic,0.2433722,0.09084691,0.1079103,0.1983236
21.20711,Haptic Plane,0.0276466,0.02579398,0.008969843,0.004306436
28.05106,Visual + Haptic,0,0,0,0
38.59475,Haptic Plane,0.1570749,0.1312244,0.002540984,0.08629155
20.5237,Haptic Plane,0,0,0,0
23.76005,Visual + Haptic,0.00724879,0.003010821,0.003435344,0.005628346
58.79312,Visual + Haptic,0,0,0,0
22.75242,Haptic Plane,0,0,0,0
16.07174,Haptic Plane,0.04264083,0.04195286,0.006707966,0.003633142
87.67863,Visual + Haptic,0.03503489,0.01848761,0.01895358,0.02294371
18.39488,Haptic Plane,0.03800484,0.03518595,0.01102225,0.00921011
76.33376,Haptic Plane,0,0,0,0
